,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
161,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,3403.0,50.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
162,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,40836.0,600.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
163,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,2041.8,30.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
164,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,6806.0,100.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
165,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,1361.2,20.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
166,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,3403.0,50.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
167,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,10209.0,150.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
168,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,2041.8,30.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
169,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,5444.8,80.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
170,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,2722.4,40.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
171,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,10209.0,150.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
172,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,2041.8,30.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
173,2015-06-23,002594.XSHE,002594,E,XSHE,比亚迪,CNY,55.71,181562.3,3259.06,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
174,2015-07-09,002594.XSHE,002594,E,XSHE,比亚迪,CNY,40.21,11962.48,297.5,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司丹阳东方路证券营业部
175,2015-07-10,002594.XSHE,002594,E,XSHE,比亚迪,CNY,44.24,11989.04,271.0,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司丹阳东方路证券营业部
176,2015-07-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,53.53,12991.73,242.7,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司丹阳东方路证券营业部
177,2015-07-15,002594.XSHE,002594,E,XSHE,比亚迪,CNY,50.58,8993.12,177.8,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司丹阳东方路证券营业部
178,2015-07-16,002594.XSHE,002594,E,XSHE,比亚迪,CNY,45.52,12959.54,284.7,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司上海合肥路证券营业部
179,2015-07-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,46.97,15988.59,340.4,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司上海合肥路证券营业部
180,2015-07-20,002594.XSHE,002594,E,XSHE,比亚迪,CNY,50.0,15995.0,319.9,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司上海合肥路证券营业部
181,2015-07-21,002594.XSHE,002594,E,XSHE,比亚迪,CNY,49.49,14386.74,290.7,海通证券股份有限公司上海合肥路证券营业部,海通证券股份有限公司上海合肥路证券营业部
182,2015-07-28,002594.XSHE,002594,E,XSHE,比亚迪,CNY,45.03,4503.23,100.01,中信建投证券股份有限公司深圳深南中路证券营业部,中信建投证券股份有限公司张家港人民中路证券营业部
183,2015-07-29,002594.XSHE,002594,E,XSHE,比亚迪,CNY,44.82,3585.6,80.0,中信建投证券股份有限公司深圳深南中路证券营业部,中信建投证券股份有限公司张家港人民中路证券营业部
